21274:   tor -f /etc/tor/torrc
000073ab27ee6000      4K rw---   [ anon ]
000073ab27ee7000      4K -----   [ anon ]
000073ab27ee8000      4K rw---   [ anon ]
000073ab27ee9000      4K -----   [ anon ]
000073ab27eea000      4K rw---   [ anon ]
000073ab27eeb000      4K -----   [ anon ]
000073ab27eec000      4K rw---   [ anon ]
000073ab27eed000      4K -----   [ anon ]
000073ab27eee000      4K rw---   [ anon ]
000073ab27eef000      4K -----   [ anon ]
000073ab27ef0000      4K rw---   [ anon ]
000073ab27ef1000      4K -----   [ anon ]
000073ab27ef2000      4K rw---   [ anon ]
000073ab27ef3000      4K -----   [ anon ]
000073ab27ef4000      4K rw---   [ anon ]
000073ab27ef5000      4K -----   [ anon ]
000073ab27ef6000      4K rw---   [ anon ]
000073ab27ef7000      4K -----   [ anon ]
